,id,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to
30,1297320514956832768,1297320514956832768,1598140288000,2020-08-22,23:51:28,0,30846824,toicitiesnews,TOI Cities,Demand for ICUs in RUHS hosp increases for Covid patients  http://toi.in/4MYCVZ14 ,en,[],['http://toi.in/4MYCVZ14'],[],0,0,1,[],[],https://twitter.com/TOICitiesNews/status/1297320514956832768,False,,0,"[{'user_id': '30846824', 'username': 'TOICitiesNews'}]"
31,1297320432371036160,1297320432371036160,1598140268000,2020-08-22,23:51:08,0,953924228306305024,cleavon_md,Cleavon MD,"In #Arizona, a jogger attempts to stomp our fires like @realDonaldTrump & @GOP stomp out COVID.🤦🏾‍♂️🤦🏾‍♂️
 pic.twitter.com/pjLmC3ldiz",en,"['realdonaldtrump', 'gop']",[],[],38,94,311,['#arizona'],[],https://twitter.com/Cleavon_MD/status/1297320432371036160,False,,1,"[{'user_id': '953924228306305024', 'username': 'Cleavon_MD'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '11134252', 'username': 'GOP'}]"
32,1297320422443286528,1297320422443286528,1598140266000,2020-08-22,23:51:06,0,34713362,business,Bloomberg,New antibody tests offer better snapshot of Covid-19 immunity  https://trib.al/AnEnaNl ,en,[],['https://trib.al/AnEnaNl'],[],1,28,60,[],[],https://twitter.com/business/status/1297320422443286528,False,,0,"[{'user_id': '34713362', 'username': 'business'}]"
33,1297320302733455361,1297320302733455361,1598140237000,2020-08-22,23:50:37,0,9609632,australian,The Australian,"A Melbourne couple have been slugged nearly $59,000 in cancellation fees after their dream European cruise was called off because of the COVID-19 pandemic #coronavirus #covidau https://bit.ly/3j5bxuL ",en,[],['https://bit.ly/3j5bxuL'],[],2,7,16,"['#coronavirus', '#covidau']",[],https://twitter.com/australian/status/1297320302733455361,False,,0,"[{'user_id': '9609632', 'username': 'australian'}]"
34,1297320172668190722,1297320172668190722,1598140206000,2020-08-22,23:50:06,0,15101583,wacotrib,Waco Tribune-Herald,"McLennan County's death toll from COVID-19 climbed to 79, with the death of a 57-year-old woman announced Saturday.  https://wacotrib.com/news/local/mclennan-countys-covid-19-death-toll-climbs-to-79/article_58fc4447-110d-5ade-9ef3-e9ff699141c8.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_wacotrib …",en,[],['https://wacotrib.com/news/local/mclennan-countys-covid-19-death-toll-climbs-to-79/article_58fc4447-110d-5ade-9ef3-e9ff699141c8.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_wacotrib'],[],0,0,0,[],[],https://twitter.com/wacotrib/status/1297320172668190722,False,,0,"[{'user_id': '15101583', 'username': 'wacotrib'}]"
35,1297320154339192833,1297320154339192833,1598140202000,2020-08-22,23:50:02,0,27740227,mongabay,Mongabay,"Peru's gov’t needs to act on COVID-19 in Amazon Indigenous cases, NGOs say:  https://news.mongabay.com/2020/08/peru-govt-needs-to-act-on-covid-19-in-amazon-indigenous-cases-ngos-say/ … pic.twitter.com/QwWPpFJzzv",en,[],['https://news.mongabay.com/2020/08/peru-govt-needs-to-act-on-covid-19-in-amazon-indigenous-cases-ngos-say/'],['https://pbs.twimg.com/media/EgEBzjhWkAAnJg_.jpg'],0,5,10,[],[],https://twitter.com/mongabay/status/1297320154339192833,False,,0,"[{'user_id': '27740227', 'username': 'mongabay'}]"
36,1297320105915760640,1297309666205143042,1598140190000,2020-08-22,23:49:50,0,7212562,southwestair,Southwest Airlines,"With the ongoing COVID-19 pandemic, we have made the difficult decision to revise our flight schedule to create a flight schedule that maximizes our resources while still doing our best to meet Customer demand in the current travel environment. -Tayler",en,['allen_boyd'],[],[],2,0,0,[],[],https://twitter.com/SouthwestAir/status/1297320105915760640,False,,0,"[{'user_id': '7212562', 'username': 'SouthwestAir'}, {'user_id': '266956055', 'username': 'allen_boyd'}]"
37,1297319975930167296,1297319975930167296,1598140159000,2020-08-22,23:49:19,0,1172592211147444224,lulufortexas,Lulu Seikaly,"The House just passed the Delivering for America Act. This bill protects and funds our US Postal Service in order to maintain their reliable services for all Americans during the ongoing COVID-19 pandemic.

@RepVanTaylor voted against it. pic.twitter.com/gX76Jj6qV2",en,['repvantaylor'],[],['https://pbs.twimg.com/media/EgEBpC7X0AEL6cx.jpg'],5,83,151,[],[],https://twitter.com/LuluForTexas/status/1297319975930167296,False,,0,"[{'user_id': '1172592211147444224', 'username': 'LuluForTexas'}, {'user_id': '1075040139351597056', 'username': 'RepVanTaylor'}]"
38,1297319911589642240,1297319911589642240,1598140144000,2020-08-22,23:49:04,0,29858306,kidknews,KIDK Eyewitness News,Idaho officials reported 293 new COVID-19 cases and 2 new deaths on Saturday.  https://localnews8.com/health/coronavirus/2020/08/22/293-new-idaho-covid-19-cases-saturday-2-new-deaths/?utm_campaign=snd-autopilot …,en,[],['https://localnews8.com/health/coronavirus/2020/08/22/293-new-idaho-covid-19-cases-saturday-2-new-deaths/?utm_campaign=snd-autopilot'],[],0,0,0,[],[],https://twitter.com/KIDKnews/status/1297319911589642240,False,,0,"[{'user_id': '29858306', 'username': 'KIDKnews'}]"
39,1297319847475449856,1296977550745444352,1598140129000,2020-08-22,23:48:49,0,57642360,phil_sanchez,Phil Sanchez,Did you overlook the “after COVID” part?,en,['wahlswords'],[],[],1,0,0,[],[],https://twitter.com/Phil_Sanchez/status/1297319847475449856,False,,0,"[{'user_id': '57642360', 'username': 'Phil_Sanchez'}, {'user_id': '109107933', 'username': 'WahlsWords'}]"
